cod_articulo,marca
A011,ABRASIVOSOCOROX
A012,ABRASIVOSOCOROX
A025,ABRASIVOSOCOROX
A026,ABRASIVOSOCOROX
A05550,
A05702,
A06425,
A06600,
A06800,
A08500,
A10812,
A120N,
A12780,
A12800,
A15100,
A15120,
A15800,
A16400,
A16600,
A1816120,
A20100,
A20611,MAIOL
A20810,MAIOL
A20814,MAIOL
A21010,MAIOL
A21016,MAIOL
A21220,MAIOL
A21624,MAIOL
A21927,MAIOL
A220N,
A22101,
A22534,MAIOL
A23055,
A23100,
A23101,
A23103,
A23120,
A23230,
A25,
A30R,
A31000,
A31150,
A40612,MAIOL
A40810,MAIOL
A40814,MAIOL
A41010,MAIOL
A41017,MAIOL
A41220,MAIOL
A41624,MAIOL
A41928,MAIOL
A42535,MAIOL
A43150,
A80810,MAIOL
A80815,MAIOL
A81010,MAIOL
A81018,MAIOL
A84700,
A84800,
A85650,
A85750,
A85850,
AA025P,
AA030P,
AA040P,
AA050P,
AA060P,
AA070P,
AA080P,
AA100P,
AA202,
AA301P,
AA302P,
AA306,LK
AA307,
AA308,LK
AA309,
AA310,
AA444P,
AA505P,LK
AA508P,LK
AA618P,LK
AA746,
AACAR06,
AACAR08,
AACAR10,
AACAR12,
AACCA06,
AACCA08,
AACCA10,
AACCA12,
AACCA16,
AACCI06,
AACCI08,
AACCI10,
AACCI12,
AACES06,
AACES08,
AACES10,
AACES12,
AACGA06,
AACGA08,
AACGA10,
AACGA12,
AACTO06,
AACTO08,
AACTO10,
AACTO12,
AACTO16,
AALR6,
AB6I012,
AB6I015,
AB6I016,
AB6I018,
AB6I022,
AB6I026,
AB6I028,
AB6I032,
AB6I035,
AB6I042,
AB6I048,
AB6I054,
AB6I060,
AB7IDZ0810,
AB7IDZ1012,
AB7IDZ1214,
AB7IDZ1416,
AB7IDZ1618,
AB7IDZ1820,
AB7IDZ2022,
AB7IDZ2224,
AB7IDZ2628,
AB7IZ010,
AB7IZ012,
AB7IZ014,
AB7IZ016,
AB7IZ018,
AB7IZ020,
AB7IZ022,
AB7IZ024,
AB7IZ026,
